通し番号,品番,商品ID,商品名,タイトル,仕入個数,在庫数,棚卸,仕入日
"31,450",519870107680 ,4549077893055 ,TK-CJ22,パナソニック TK-CJ22  TKCJ22S 蛇口直結型浄水器 シルバー,1,1,,2021/9/9
"30,790",2048LZ92W5P9,4943765050032 ,C922N,Logicool Pro Stream Webcam C922n [ブラック][ロジクール プロ ストリーミング ウェブカム],1,1,1,2021/8/31
"30,122",357399384720 ,4988602174106 ,RL007-J1,コナミ 遊戯王ラッシュデュエル 最強バトルロイヤル！！ [Nintendo Switch] ,1,1,,2021/8/20
"30,143",472559976722 ,4902370547955 ,HAC-P-AZ89A,任天堂 ゼルダの伝説 スカイウォードソード HD [Nintendo Switch]      ,1,1,1,2021/8/20
"28,377",120210707105387 ,5702016618297 ,マインクラフト 21162,レゴ(LEGO) マインクラフト タイガの冒険 21162,1,1,,2021/7/30
"29,226",2042LZ90QD70,4988104128171 ,4.9881E+12,『ウマ箱2』第2コーナー アニメ『ウマ娘 プリティーダービー Season 2』トレーナーズBOX) [Blu-ray],1,1,,2021/7/28
"26,451",RF3385682,4582138093681 ,CARAT RF-FC1932B,MTG ReFa 4 CARAT RF-FC1932B,1,1,,2021/6/4
"25,283",0273B21148,4210201203810 ,SES9880,ブラウン シルク・エピル9 SES9880 レディースシェーバー　,1,1,,2021/5/6
"24,211",323445759921 ,4571304478070 ,HAC-B-AVSFA,Take Two Interactive Software　ボーダーランズ レジェンダリー・コレクション [Nintendo Switch],1,1,,2021/3/1
"23,898",358636421710 ,4582528436487 ,PLJS-36096,バンダイナムコエンターテインメント リトルナイトメア2 [PS4] ,1,1,,2021/2/25
"23,261",2021020307 ,4940261516703 ,PLJS-36142,スパイク・チュンソフト Re：ゼロから始める異世界生活 偽りの王選候補 [PS4] ,1,1,,2021/2/3
"23,259",2021020306 ,4940261516703 ,PLJS-36142,スパイク・チュンソフト Re：ゼロから始める異世界生活 偽りの王選候補 [PS4] ,1,1,,2021/2/3
"21,414",2026007 ,4974019107028 ,KI-JP100,SHARP　KI-JP100　プラズマクラスターNEXT搭載 加湿空気清浄機(空清46畳まで/加湿26畳まで),1,1,,2020/12/1
"21,214",2020112402 ,4902720102629 ,DHA-90,森永 ママのDHA 90粒入 (約30日分) 妊娠期~授乳期,1,1,,2020/11/24
"53,914",I8010K3736519,731855080106 ,TBS-8010-01,RECON 70N TBS-8010-01 ゲーミングヘッドセット,1,1,,2020/10/31
"53,912",I8010K3716726,731855080106 ,TBS-8010-01,RECON 70N TBS-8010-01 ゲーミングヘッドセット,1,1,,2020/10/31
"53,916",I8010K3736727,731855080106 ,TBS-8010-01,RECON 70N TBS-8010-01 ゲーミングヘッドセット,1,1,,2020/10/31
"19,853",22044T2000613,6935364089269 ,ArcherAX50,TP-Link 新世代 Wi-Fi 6（11AX） 無線LANルーター 2402+574Mbps Intel CPU Archer AX50,1,1,,2020/9/17
"19,552",908253 ,4550283317174 ,DSHH-20,ドウシシャ Otona 電動わた雪かき氷器 DSHH-20,1,1,1,2020/8/22
"19,323",2020081702 ,4965857102030 ,HAC-P-ALMAA,イマジニア Fit Boxing [Nintendo Switch],1,1,1,2020/8/17
"19,340",B390060K200106N100174,885155020642 ,B390060,iRobot アイロボット ブラーバ390j B390060 床拭きロボット 【国内正規品】,1,1,1,2020/8/17
"19,146",B390060K200114N100093,885155020642 ,B390060,iRobot アイロボット ブラーバ390j B390060 床拭きロボット 【国内正規品】,1,1,1,2020/8/7
"17,796",2020060401 ,4902430859622 ,arieru910,洗濯洗剤 液体 部屋干し アリエール 本体(910g),5,1,1,2020/6/5
"17,386",2020051503 ,4979750800092 ,HOMESTAR Relax Pink,セガトイズ　ホームスター Relax（リラックス） ピンク,1,1,1,2020/5/15
"17,827",Z7DD4Z85442,4580573470739 ,TE-D01d mk2-BK,AVIOT TE-D01d mk2-BK [ブラック]　フルワイヤレスイヤホン [リモコン･マイク対応 /ワイヤレス(左右分離) /Bluetooth],1,1,1,2020/5/13
"17,144",2020050702 ,4562441906526 ,HAND GEL ,ハンドジェル HAND GEL アルコール洗浄タイプ 速乾性 大容量500mL　手指を汚れから守る,240,214,1,2020/4/29
"16,522",972573012022900000 ,4549980265987 ,SRMP300,Panasonic  パナソニック 電気圧力鍋 時短なべ 3L  圧力、低温、無水、煮込、自動調理  ブラック SR-MP300-K,1,1,1,2020/4/16
"16,518",972579012030400000 ,4549980265987 ,SRMP300,Panasonic  パナソニック 電気圧力鍋 時短なべ 3L  圧力、低温、無水、煮込、自動調理  ブラック SR-MP300-K,1,1,1,2020/4/16
"16,516",972579012030300000 ,4549980265987 ,SRMP300,Panasonic  パナソニック 電気圧力鍋 時短なべ 3L  圧力、低温、無水、煮込、自動調理  ブラック SR-MP300-K,1,1,1,2020/4/16
"16,382",%VN9LA002728,4549980266588 ,DMR-4CW200,Panasonic  おうちクラウドディーガ 4Kチューナー内蔵モデル  DMR-4CW200,1,1,1,2020/4/11
"15,735",SFVFZW283LYWJ,4549995094930 ,MVFK2JA,アップル Apple　MacBook Air 13インチ 1.6GHz第8世代Intel Core i5 8GB/128GB シルバー MVFK2J/A,1,1,1,2020/3/26
"15,650",173313A00156,SD8SB8U-128G,SD8SB8U-128G,SanDisk SD8SB8U-128G,1,1,,2020/3/25
"15,649",173313A01856,SD8SB8U-128G,SD8SB8U-128G,SanDisk SD8SB8U-128G,1,1,,2020/3/25
"15,658",TDD90102903,4580573470104 ,TE-D01d-BK,AVIOT アビオット 高音質 グラフェンドライバー搭載 完全ワイヤレス ブラック TE-D01d-BK,1,1,,2020/3/25
"15,656",TDD90102603,4580573470104 ,TE-D01d-BK,AVIOT アビオット 高音質 グラフェンドライバー搭載 完全ワイヤレス ブラック TE-D01d-BK,1,1,,2020/3/25
"14,366",9AHTXA001223,4717677335668 ,DeskMini 310/B/BB/JP,,1,1,1,2020/1/21
"13,569",SG99ZK1PUMLF3,4549995100778 ,MWWL2J-A,Apple Watch Series 5 GPS+Cellularモデル -44mm スペースブラックステンレススチールケースとスペースブラックミラネーゼループ MWWL2J/A,1,1,1,2019/12/24
"13,518",SG99D96S6MLD5,4549995100846 ,MWX62J-A,Apple Watch Series 5（GPS + Cellularモデル）- 40mm ゴールドステンレススチールケースとストーンスポーツバンド MWX62J/A,1,1,1,2019/12/22
"14,454",2019120904 ,4948872311595 ,DaysGone,SIE　Days Gone [Value Selection] [PS4]　,1,1,1,2019/12/16
"12,737",540E0032A,PC-VJ24VTARJ,PC-VJ24VTARJ,,1,1,,2019/12/10
"19,901",2019120908 ,4973007007043 ,Action 360 DC3000,CAR MATE d'Action 360 DC3000 ブラック ドライブレコーダー d’Action 360 （ダクション 360） 360度（前後左右）撮影 超広角SONYセンサー使用 駐車監視 アクションカメラ 4K相当 ,1,1,1,2019/12/9
"12,206",4983771245459 ,4983771245459 ,YZC-302FL,ホットカーペット フローリング調ホットカーペット 3畳,1,1,,2019/12/2
"9,270",KYN961061803230108721,885155014870 ,ルンバ961,ルンバ961 アイロボット ロボット掃除機 カメラセンサー カーペット 畳 段差乗り越え wifi対応 自動充電・運転再開 吸引力 マッピング【Alexa対応】,1,1,1,2019/9/29
"9,272",KYN961061803230108000,885155014870 ,ルンバ961,ルンバ961 アイロボット ロボット掃除機 カメラセンサー カーペット 畳 段差乗り越え wifi対応 自動充電・運転再開 吸引力 マッピング【Alexa対応】,1,1,1,2019/9/29
"7,838",ML65S025248,4988648859661 ,ｏｆｆｉｃｅ　ｐｅｒｓｏｎａｌ 2013,,1,1,,2019/9/12
"7,233",SFHLZ49EMKDH3,4549995045451 ,MU672JA,Apple Watch Series 4 GPSモデル 40mm MU672J/A [スペースグレイアルミニウムケースとブラックスポーツループ],1,1,1,2019/8/16
"6,759",LA-T3X10,4573424240407 ,LA-T3X10,Lazos アルカリ乾電池 単3形 10本パック LA-T3X10,25,15,1,2019/7/19
"17,700",6PM7N17A27000135,6901443182152 ,Huawei P10 Plus Dazling Gold,,1,1,1,2018/8/30
,6CHTXW000562,4717677331851 ,Beebox-S 7100U/B/BB/JP,,1,1,1,2018/6/6
,WIR100015918,4949090720657 ,REX-WFIREX1,,1,1,1,2018/6/6
"5,065",HKS-551C-WH,4560373522203 ,HKS551CWH,ドウシシャ布団乾燥機　Pieria　ピエリア HKS-551C　クレベリンLED搭載,1,1,1,2018/4/4
,173818DB9387,4988755037099 ,CT1050MX300SSD1/JP,,1,1,1,2018/1/19
,4549549168186 ,4549549168186 ,tn-ps6lhy,,2,2,1,2017/9/26
,2R11791609U7ZAJ,4549325024446 ,ak380 recorder,,1,1,1,2017/6/2
"4,237",84915060300284 ,4562437860849 ,ｆｒｔ８１０,,1,1,1,2016/12/27
,TSS867,92636313197 ,TSS867,,4,1,1,2016/8/26
,160622 ,4571396060290 ,G01500MT　TV台,,2,1,1,2016/6/22
,1506I04090101315,4988755020220 ,tn80w,,1,1,1,2016/5/27
,1506I04090101308,4988755020220 ,tn80w,,1,1,1,2016/5/27
,1506I04090101306,4988755020220 ,tn80w,,1,1,1,2016/5/27
,1506I04090101285,4988755020220 ,tn80w,,1,1,1,2016/3/28
,SFHLPP9SWG9HM,4547597903247 ,MJ2Y2J/A,,4,1,1,2016/3/1
,1S59428222HA0A7KT4,4562466084193 ,59428222,,1,1,1,2015/7/27
,15000411 ,4582109234945 ,TSV-002CPK,,48,48,1,2015/3/10
,770718 ,4582109234945 ,TSV-002CPK,,24,21,1,2015/2/24
,4516748007165 ,4516748007165 ,KJW-52,,1,1,1,2014/4/17
